Date;Diesel Prices
févr 05, 2007;2,463
févr 12, 2007;2,502
févr 19, 2007;2,515
févr 26, 2007;2,571
mars 05, 2007;2,64
mars 12, 2007;2,695
mars 19, 2007;2,694
mars 26, 2007;2,69
avr 02, 2007;2,803
avr 09, 2007;2,853
avr 16, 2007;2,887
avr 23, 2007;2,863
avr 30, 2007;2,831
mai 07, 2007;2,816
mai 14, 2007;2,797
mai 21, 2007;2,822
mai 28, 2007;2,836
juin 04, 2007;2,819
juin 11, 2007;2,814
juin 18, 2007;2,822
juin 25, 2007;2,847
juil 02, 2007;2,842
juil 09, 2007;2,859
juil 16, 2007;2,902
juil 23, 2007;2,903
juil 30, 2007;2,899
août 06, 2007;2,91
août 13, 2007;2,861
août 20, 2007;2,878
août 27, 2007;2,873
sept 03, 2007;2,901
sept 10, 2007;2,932
sept 17, 2007;2,971
sept 24, 2007;3,038
oct 01, 2007;3,055
oct 08, 2007;3,046
oct 15, 2007;3,053
oct 22, 2007;3,11
oct 29, 2007;3,171
nov 05, 2007;3,314
nov 12, 2007;3,438
nov 19, 2007;3,426
nov 26, 2007;3,456
déc 03, 2007;3,433
déc 10, 2007;3,345
déc 17, 2007;3,325
déc 24, 2007;3,321
déc 31, 2007;3,356
janv 07, 2008;3,387
janv 14, 2008;3,341
janv 21, 2008;3,286
janv 28, 2008;3,272
févr 04, 2008;3,291
févr 11, 2008;3,291
févr 18, 2008;3,405
févr 25, 2008;3,558
mars 03, 2008;3,666
mars 10, 2008;3,825
mars 17, 2008;3,982
mars 24, 2008;3,998
mars 31, 2008;3,976
avr 07, 2008;3,966
avr 14, 2008;4,069
avr 21, 2008;4,153
avr 28, 2008;4,187
mai 05, 2008;4,162
mai 12, 2008;4,339
mai 19, 2008;4,504
mai 26, 2008;4,731
juin 02, 2008;4,716
juin 09, 2008;4,702
juin 16, 2008;4,702
juin 23, 2008;4,659
juin 30, 2008;4,657
juil 07, 2008;4,733
juil 14, 2008;4,771
juil 21, 2008;4,729
juil 28, 2008;4,614
août 04, 2008;4,515
août 11, 2008;4,368
août 18, 2008;4,219
août 25, 2008;4,158
sept 01, 2008;4,135
sept 08, 2008;4,075
sept 15, 2008;4,035
sept 22, 2008;3,967
sept 29, 2008;3,969
oct 06, 2008;3,887
oct 13, 2008;3,672
oct 20, 2008;3,497
oct 27, 2008;3,3
nov 03, 2008;3,1
nov 10, 2008;2,958
nov 17, 2008;2,822
nov 24, 2008;2,676
déc 01, 2008;2,624
déc 08, 2008;2,523
déc 15, 2008;2,43
déc 22, 2008;2,373
déc 29, 2008;2,335
janv 05, 2009;2,299
janv 12, 2009;2,324
janv 19, 2009;2,307
janv 26, 2009;2,278
févr 02, 2009;2,256
févr 09, 2009;2,23
févr 16, 2009;2,197
févr 23, 2009;2,138
mars 02, 2009;2,095
mars 09, 2009;2,051
mars 16, 2009;2,023
mars 23, 2009;2,093
mars 30, 2009;2,225
avr 06, 2009;2,233
avr 13, 2009;2,234
avr 20, 2009;2,226
avr 27, 2009;2,207
mai 04, 2009;2,192
mai 11, 2009;2,223
mai 18, 2009;2,237
mai 25, 2009;2,278
juin 01, 2009;2,354
juin 08, 2009;2,501
juin 15, 2009;2,575
juin 22, 2009;2,619
juin 29, 2009;2,612
juil 06, 2009;2,598
juil 13, 2009;2,546
juil 20, 2009;2,501
juil 27, 2009;2,532
août 03, 2009;2,554
août 10, 2009;2,628
août 17, 2009;2,656
août 24, 2009;2,672
août 31, 2009;2,679
sept 07, 2009;2,65
sept 14, 2009;2,638
sept 21, 2009;2,626
sept 28, 2009;2,606
oct 05, 2009;2,588
oct 12, 2009;2,604
oct 19, 2009;2,708
oct 26, 2009;2,805
nov 02, 2009;2,811
nov 09, 2009;2,805
nov 16, 2009;2,795
nov 23, 2009;2,792
nov 30, 2009;2,78
déc 07, 2009;2,777
déc 14, 2009;2,753
déc 21, 2009;2,731
déc 28, 2009;2,736
janv 04, 2010;2,801
janv 11, 2010;2,882
janv 18, 2010;2,874
janv 25, 2010;2,838
févr 01, 2010;2,787
févr 08, 2010;2,775
févr 15, 2010;2,761
févr 22, 2010;2,834
mars 01, 2010;2,865
mars 08, 2010;2,906
mars 15, 2010;2,926
mars 22, 2010;2,949
mars 29, 2010;2,942
avr 05, 2010;3,017
avr 12, 2010;3,073
avr 19, 2010;3,078
avr 26, 2010;3,082
mai 03, 2010;3,126
mai 10, 2010;3,131
mai 17, 2010;3,098
mai 24, 2010;3,025
mai 31, 2010;2,983
juin 07, 2010;2,949
juin 14, 2010;2,93
juin 21, 2010;2,962
juin 28, 2010;2,957
juil 05, 2010;2,925
juil 12, 2010;2,904
juil 19, 2010;2,899
juil 26, 2010;2,919
août 02, 2010;2,928
août 09, 2010;2,991
août 16, 2010;2,979
août 23, 2010;2,957
août 30, 2010;2,938
sept 06, 2010;2,931
sept 13, 2010;2,943
sept 20, 2010;2,96
sept 27, 2010;2,951
oct 04, 2010;3
oct 11, 2010;3,066
oct 18, 2010;3,073
oct 25, 2010;3,067
nov 01, 2010;3,067
nov 08, 2010;3,116
nov 15, 2010;3,184
nov 22, 2010;3,171
nov 29, 2010;3,162
déc 06, 2010;3,197
déc 13, 2010;3,231
déc 20, 2010;3,248
déc 27, 2010;3,294
janv 03, 2011;3,331
janv 10, 2011;3,333
janv 17, 2011;3,407
janv 24, 2011;3,43
janv 31, 2011;3,438
févr 07, 2011;3,513
févr 14, 2011;3,534
févr 21, 2011;3,573
févr 28, 2011;3,716
mars 07, 2011;3,871
mars 14, 2011;3,908
mars 21, 2011;3,907
mars 28, 2011;3,932
avr 04, 2011;3,976
avr 11, 2011;4,078
avr 18, 2011;4,105
avr 25, 2011;4,098
mai 02, 2011;4,124
mai 09, 2011;4,104
mai 16, 2011;4,061
mai 23, 2011;3,997
mai 30, 2011;3,948
juin 06, 2011;3,94
juin 13, 2011;3,954
juin 20, 2011;3,95
juin 27, 2011;3,888
juil 04, 2011;3,85
juil 11, 2011;3,899
juil 18, 2011;3,923
juil 25, 2011;3,949
août 01, 2011;3,937
août 08, 2011;3,897
août 15, 2011;3,835
août 22, 2011;3,81
août 29, 2011;3,82
sept 05, 2011;3,868
sept 12, 2011;3,862
sept 19, 2011;3,833
sept 26, 2011;3,786
oct 03, 2011;3,749
oct 10, 2011;3,721
oct 17, 2011;3,801
oct 24, 2011;3,825
oct 31, 2011;3,892
nov 07, 2011;3,887
nov 14, 2011;3,987
nov 21, 2011;4,01
nov 28, 2011;3,964
déc 05, 2011;3,931
déc 12, 2011;3,894
déc 19, 2011;3,828
déc 26, 2011;3,791
janv 02, 2012;3,783
janv 09, 2012;3,828
janv 16, 2012;3,854
janv 23, 2012;3,848
janv 30, 2012;3,85
févr 06, 2012;3,856
févr 13, 2012;3,943
févr 20, 2012;3,96
févr 27, 2012;4,051
mars 05, 2012;4,094
mars 12, 2012;4,123
mars 19, 2012;4,142
mars 26, 2012;4,147
avr 02, 2012;4,142
avr 09, 2012;4,148
avr 16, 2012;4,127
avr 23, 2012;4,085
avr 30, 2012;4,073
mai 07, 2012;4,057
mai 14, 2012;4,004
mai 21, 2012;3,956
mai 28, 2012;3,897
juin 04, 2012;3,846
juin 11, 2012;3,781
juin 18, 2012;3,729
juin 25, 2012;3,678
juil 02, 2012;3,648
juil 09, 2012;3,683
juil 16, 2012;3,695
juil 23, 2012;3,783
juil 30, 2012;3,796
août 06, 2012;3,85
août 13, 2012;3,965
août 20, 2012;4,026
août 27, 2012;4,089
sept 03, 2012;4,127
sept 10, 2012;4,132
sept 17, 2012;4,135
sept 24, 2012;4,086
oct 01, 2012;4,079
oct 08, 2012;4,094
oct 15, 2012;4,15
oct 22, 2012;4,116
oct 29, 2012;4,03
nov 05, 2012;4,01
nov 12, 2012;3,98
nov 19, 2012;3,976
nov 26, 2012;4,034
déc 03, 2012;4,027
déc 10, 2012;3,991
déc 17, 2012;3,945
déc 24, 2012;3,923
déc 31, 2012;3,918
janv 07, 2013;3,911
janv 14, 2013;3,894
janv 21, 2013;3,902
janv 28, 2013;3,927
févr 04, 2013;4,022
févr 11, 2013;4,104
févr 18, 2013;4,157
févr 25, 2013;4,159
mars 04, 2013;4,13
mars 11, 2013;4,088
mars 18, 2013;4,047
mars 25, 2013;4,006
avr 01, 2013;3,993
avr 08, 2013;3,977
avr 15, 2013;3,942
avr 22, 2013;3,887
avr 29, 2013;3,851
mai 06, 2013;3,845
mai 13, 2013;3,866
mai 20, 2013;3,89
mai 27, 2013;3,88
juin 03, 2013;3,869
juin 10, 2013;3,849
juin 17, 2013;3,841
juin 24, 2013;3,838
juil 01, 2013;3,817
juil 08, 2013;3,828
juil 15, 2013;3,867
juil 22, 2013;3,903
juil 29, 2013;3,915
août 05, 2013;3,909
août 12, 2013;3,896
août 19, 2013;3,9
août 26, 2013;3,913
sept 02, 2013;3,981
sept 09, 2013;3,981
sept 16, 2013;3,974
sept 23, 2013;3,949
sept 30, 2013;3,919
oct 07, 2013;3,897
oct 14, 2013;3,886
oct 21, 2013;3,886
oct 28, 2013;3,87
nov 04, 2013;3,857
nov 11, 2013;3,832
nov 18, 2013;3,822
nov 25, 2013;3,844
déc 02, 2013;3,883
déc 09, 2013;3,879
déc 16, 2013;3,871
déc 23, 2013;3,873
déc 30, 2013;3,903
janv 06, 2014;3,91
janv 13, 2014;3,886
janv 20, 2014;3,873
janv 27, 2014;3,904
févr 03, 2014;3,951
févr 10, 2014;3,977
févr 17, 2014;3,989
févr 24, 2014;4,017
mars 03, 2014;4,016
mars 10, 2014;4,021
mars 17, 2014;4,003
mars 24, 2014;3,988
mars 31, 2014;3,975
avr 07, 2014;3,959
avr 14, 2014;3,952
avr 21, 2014;3,971
avr 28, 2014;3,975
mai 05, 2014;3,964
mai 12, 2014;3,948
mai 19, 2014;3,934
mai 26, 2014;3,925
juin 02, 2014;3,918
juin 09, 2014;3,892
juin 16, 2014;3,882
juin 23, 2014;3,919
juin 30, 2014;3,92
juil 07, 2014;3,913
juil 14, 2014;3,894
juil 21, 2014;3,869
juil 28, 2014;3,858
août 04, 2014;3,853
août 11, 2014;3,843
août 18, 2014;3,835
août 25, 2014;3,821
sept 01, 2014;3,814
sept 08, 2014;3,814
sept 15, 2014;3,801
sept 22, 2014;3,778
sept 29, 2014;3,755
oct 06, 2014;3,733
oct 13, 2014;3,698
oct 20, 2014;3,656
oct 27, 2014;3,635
nov 03, 2014;3,623
nov 10, 2014;3,677
nov 17, 2014;3,661
nov 24, 2014;3,628
déc 01, 2014;3,605
déc 08, 2014;3,535
déc 15, 2014;3,419
déc 22, 2014;3,281
déc 29, 2014;3,213
janv 05, 2015;3,137
janv 12, 2015;3,053
janv 19, 2015;2,933
janv 26, 2015;2,866
févr 02, 2015;2,831
févr 09, 2015;2,835
févr 16, 2015;2,865
févr 23, 2015;2,9
mars 02, 2015;2,936
mars 09, 2015;2,944
mars 16, 2015;2,917
mars 23, 2015;2,864
mars 30, 2015;2,824
avr 06, 2015;2,784
avr 13, 2015;2,754
avr 20, 2015;2,78
avr 27, 2015;2,811
mai 04, 2015;2,854
mai 11, 2015;2,878
mai 18, 2015;2,904
mai 25, 2015;2,914
juin 01, 2015;2,909
juin 08, 2015;2,884
juin 15, 2015;2,87
juin 22, 2015;2,859
juin 29, 2015;2,843
juil 06, 2015;2,832
juil 13, 2015;2,814
juil 20, 2015;2,782
juil 27, 2015;2,723
août 03, 2015;2,668
août 10, 2015;2,617
août 17, 2015;2,615
août 24, 2015;2,561
août 31, 2015;2,514
sept 07, 2015;2,534
sept 14, 2015;2,517
sept 21, 2015;2,493
sept 28, 2015;2,476
oct 05, 2015;2,492
oct 12, 2015;2,556
oct 19, 2015;2,531
oct 26, 2015;2,498
nov 02, 2015;2,485
nov 09, 2015;2,502
nov 16, 2015;2,482
nov 23, 2015;2,445
nov 30, 2015;2,421
déc 07, 2015;2,379
déc 14, 2015;2,338
déc 21, 2015;2,284
déc 28, 2015;2,237
janv 04, 2016;2,211
janv 11, 2016;2,177
janv 18, 2016;2,112
janv 25, 2016;2,071
févr 01, 2016;2,031
févr 08, 2016;2,008
févr 15, 2016;1,98
févr 22, 2016;1,983
févr 29, 2016;1,989
mars 07, 2016;2,021
mars 14, 2016;2,099
mars 21, 2016;2,119
mars 28, 2016;2,121
avr 04, 2016;2,115
avr 11, 2016;2,128
avr 18, 2016;2,165
avr 25, 2016;2,198
mai 02, 2016;2,266
mai 09, 2016;2,271
mai 16, 2016;2,297
mai 23, 2016;2,357
mai 30, 2016;2,382
juin 06, 2016;2,407
juin 13, 2016;2,431
juin 20, 2016;2,426
juin 27, 2016;2,426
juil 04, 2016;2,423
juil 11, 2016;2,414
juil 18, 2016;2,402
juil 25, 2016;2,379
août 01, 2016;2,348
août 08, 2016;2,316
août 15, 2016;2,31
août 22, 2016;2,37
août 29, 2016;2,409
sept 05, 2016;2,407
sept 12, 2016;2,399
sept 19, 2016;2,389
sept 26, 2016;2,382
oct 03, 2016;2,389
oct 10, 2016;2,445
oct 17, 2016;2,481
oct 24, 2016;2,478
oct 31, 2016;2,479
nov 07, 2016;2,47
nov 14, 2016;2,443
nov 21, 2016;2,421
nov 28, 2016;2,42
déc 05, 2016;2,48
déc 12, 2016;2,493
déc 19, 2016;2,527
déc 26, 2016;2,54
janv 02, 2017;2,586
janv 09, 2017;2,597
janv 16, 2017;2,585
janv 23, 2017;2,569
janv 30, 2017;2,562
févr 06, 2017;2,558
févr 13, 2017;2,565
févr 20, 2017;2,572
févr 27, 2017;2,577
mars 06, 2017;2,579
mars 13, 2017;2,564
mars 20, 2017;2,539
mars 27, 2017;2,532
avr 03, 2017;2,556
avr 10, 2017;2,582
avr 17, 2017;2,597
avr 24, 2017;2,595
mai 01, 2017;2,583
mai 08, 2017;2,565
mai 15, 2017;2,544
mai 22, 2017;2,539
mai 29, 2017;2,571
juin 05, 2017;2,564
juin 12, 2017;2,524
juin 19, 2017;2,489
juin 26, 2017;2,465
juil 03, 2017;2,472
juil 10, 2017;2,481
juil 17, 2017;2,491
juil 24, 2017;2,507
juil 31, 2017;2,531
août 07, 2017;2,581
août 14, 2017;2,598
août 21, 2017;2,596
août 28, 2017;2,605
sept 04, 2017;2,758
sept 11, 2017;2,802
sept 18, 2017;2,791
sept 25, 2017;2,788
oct 02, 2017;2,792
oct 09, 2017;2,776
oct 16, 2017;2,787
oct 23, 2017;2,797
oct 30, 2017;2,819
nov 06, 2017;2,882
nov 13, 2017;2,915
nov 20, 2017;2,912
nov 27, 2017;2,926
déc 04, 2017;2,922
déc 11, 2017;2,91
déc 18, 2017;2,901
déc 25, 2017;2,903
janv 01, 2018;2,973
janv 08, 2018;2,996
janv 15, 2018;3,028
janv 22, 2018;3,025
janv 29, 2018;3,07
févr 05, 2018;3,086
févr 12, 2018;3,063
févr 19, 2018;3,027
févr 26, 2018;3,007
mars 05, 2018;2,992
mars 12, 2018;2,976
mars 19, 2018;2,972
mars 26, 2018;3,01
avr 02, 2018;3,042
avr 09, 2018;3,043
avr 16, 2018;3,104
avr 23, 2018;3,133
avr 30, 2018;3,157
mai 07, 2018;3,171
mai 14, 2018;3,239
mai 21, 2018;3,277
mai 28, 2018;3,288
juin 04, 2018;3,285
juin 11, 2018;3,266
juin 18, 2018;3,244
juin 25, 2018;3,216
juil 02, 2018;3,236
juil 09, 2018;3,243
juil 16, 2018;3,239
juil 23, 2018;3,22
juil 30, 2018;3,226
août 06, 2018;3,223
août 13, 2018;3,217
août 20, 2018;3,207
août 27, 2018;3,226
sept 03, 2018;3,252
sept 10, 2018;3,258
sept 17, 2018;3,268
sept 24, 2018;3,271
oct 01, 2018;3,313
oct 08, 2018;3,385
oct 15, 2018;3,394
oct 22, 2018;3,38
oct 29, 2018;3,355
nov 05, 2018;3,338
nov 12, 2018;3,317
nov 19, 2018;3,282
nov 26, 2018;3,261
déc 03, 2018;3,207
déc 10, 2018;3,161
déc 17, 2018;3,121
déc 24, 2018;3,077
déc 31, 2018;3,048
janv 07, 2019;3,013
janv 14, 2019;2,976
janv 21, 2019;2,965
janv 28, 2019;2,965
févr 04, 2019;2,966
févr 11, 2019;2,966
févr 18, 2019;3,006
févr 25, 2019;3,048
mars 04, 2019;3,076
mars 11, 2019;3,079
mars 18, 2019;3,07
mars 25, 2019;3,08
avr 01, 2019;3,078
avr 08, 2019;3,093
avr 15, 2019;3,118
avr 22, 2019;3,147
avr 29, 2019;3,169
mai 06, 2019;3,171
mai 13, 2019;3,16
mai 20, 2019;3,163
mai 27, 2019;3,151
juin 03, 2019;3,136
juin 10, 2019;3,105
juin 17, 2019;3,07
juin 24, 2019;3,043
juil 01, 2019;3,042
juil 08, 2019;3,055
juil 15, 2019;3,051
juil 22, 2019;3,044
juil 29, 2019;3,034
août 05, 2019;3,032
août 12, 2019;3,011
août 19, 2019;2,994
août 26, 2019;2,983
sept 02, 2019;2,976
sept 09, 2019;2,971
sept 16, 2019;2,987
sept 23, 2019;3,081
sept 30, 2019;3,066
oct 07, 2019;3,047
oct 14, 2019;3,051
oct 21, 2019;3,05
oct 28, 2019;3,064
nov 04, 2019;3,062
nov 11, 2019;3,073
nov 18, 2019;3,074
nov 25, 2019;3,066
déc 02, 2019;3,07
déc 09, 2019;3,049
déc 16, 2019;3,046
déc 23, 2019;3,041
déc 30, 2019;3,069
janv 06, 2020;3,079
janv 13, 2020;3,064
janv 20, 2020;3,037
janv 27, 2020;3,01
févr 03, 2020;2,956
févr 10, 2020;2,91
févr 17, 2020;2,89
févr 24, 2020;2,882
mars 02, 2020;2,851
mars 09, 2020;2,814
mars 16, 2020;2,733
mars 23, 2020;2,659
mars 30, 2020;2,586
avr 06, 2020;2,548
avr 13, 2020;2,507
avr 20, 2020;2,48
avr 27, 2020;2,437
mai 04, 2020;2,399
mai 11, 2020;2,394
mai 18, 2020;2,386
mai 25, 2020;2,39
juin 01, 2020;2,386
juin 08, 2020;2,396
juin 15, 2020;2,403
juin 22, 2020;2,425
juin 29, 2020;2,43
juil 06, 2020;2,437
juil 13, 2020;2,438
juil 20, 2020;2,433
juil 27, 2020;2,427
août 03, 2020;2,424
août 10, 2020;2,428
août 17, 2020;2,427
août 24, 2020;2,426
août 31, 2020;2,441
sept 07, 2020;2,435
sept 14, 2020;2,422
sept 21, 2020;2,404
sept 28, 2020;2,394
oct 05, 2020;2,387
oct 12, 2020;2,395
oct 19, 2020;2,388
oct 26, 2020;2,385
nov 02, 2020;2,372
nov 09, 2020;2,383
nov 16, 2020;2,441
nov 23, 2020;2,462
nov 30, 2020;2,502
déc 07, 2020;2,526
déc 14, 2020;2,559
déc 21, 2020;2,619
déc 28, 2020;2,635
janv 04, 2021;2,64
janv 11, 2021;2,67
janv 18, 2021;2,696
janv 25, 2021;2,716
févr 01, 2021;2,738
